Time,X,Y,V_x,V_y,Velocity,Mass,Pitch,Stage,Mach,Drag_Coeff,Orbital_Energy,G_Force,Dyn_Pressure,Orbit_Type,Isp,Delta_V_Rem,Kinetic_Energy,Potential_Energy,TWR,Hull_Temp
0.05,18.16919280140821,0.0092284906571589,363.3838560281642,0.184569813143178,363.38386239794363,563353.4169998367,90.0,1,0.0,0.4,-62497026.78275185,1.3756627695460488,0.0,Bekliyor,264.34999999999997,3387.583673304648,37194798527.739426,50983.80980213036,1.3756627695460488,282.21999999999997
3.049999999999997,1108.3201750831397,17.785184991624114,363.3834710205274,11.58277921731476,363.5618623937752,554559.5442206727,90.0,1,0.03382044539106406,0.4,-62496793.12212538,1.3974155599578226,79.821101914726,Bekliyor,264.44705144478934,3348.0263895796957,36650071599.01924,96722179.37407377,1.3974772049993616,282.1726970346211
6.0499999999999865,2198.469994863679,70.74059956360252,363.38308132478943,23.629462406400666,364.1372250712251,545772.2014830217,90.0,1,0.06960801118219205,0.4,-62496069.67782069,1.419713979498748,335.98936211252243,Bekliyor,264.74111119713416,3310.2811240924616,36183583223.52553,378613488.17513555,1.4199776385777214,282.04091424963286
9.049999999999994,3288.61864015444,160.84571449313327,363.38268832371654,36.34084652100038,365.1737765260605,536998.0347975689,90.0,1,0.1074606388239538,0.4,-62494813.13659171,1.4425472955204421,792.1416479886474,Bekliyor,265.239355617109,3274.3542864313,35804850644.50262,847016802.682185,1.443179065181067,281.8357296689902
12.050000000000036,4378.766103310667,290.1189957592445,363.3822935262835,49.732858786390885,366.7387921454964,528243.8208805458,90.0,1,0.14748467057285763,0.4,-62492977.6130983,1.4659048035674935,1469.053400720341,Bekliyor,265.9461469948276,3240.2125586274497,35523694829.522964,1502836242.4120648,1.467095858445406,281.57001079401607
15.050000000000079,5468.912381389072,460.6262548327537,363.38189855317813,63.821147046218634,368.90228472129377,519516.33485051047,90.0,1,0.1897961961397707,0.4,-62490514.571658425,1.489777153904666,2383.378148457708,Bekliyor,266.86266928581216,3207.780277352469,35350202146.83885,2346590943.5090446,1.4917419720521885,281.2585092245522
18.05000000000012,6559.05747645513,674.4798949204553,363.3815051177944,78.62114250105111,371.73613536403514,510822.20898588444,90.0,1,0.23452273099002133,0.4,-62487372.742517054,1.514157884539502,3546.38007551948,Bekliyor,267.9866257823441,3176.937916323045,35294686962.200874,3378420843.4701962,1.5171312214513382,280.91795895828733
21.050000000000164,7649.201395826534,933.8384168117207,363.38111500281457,94.1481700023549,375.3130986285888,502167.7880839875,90.0,1,0.28180529004327504,0.4,-62483498.02609912,1.539045108747065,4962.734251291303,Bekliyor,269.31201951485684,3147.521854675212,35367657730.76209,4598094907.4178705,1.543277645944127,280.56718268371475
24.050000000000207,8739.344152240115,1240.9063328846937,363.38073003271893,110.41760941483366,379.7057305283772,493558.9875516807,90.0,1,0.33180092940165595,0.4,-62478833.37719058,1.564443284678399,6629.477979576987,Bekliyor,270.82903580914007,3119.3255726577354,35579789320.84066,6005021081.185867,1.5701959470084144,280.2272116800695
27.05000000000025,9829.485763930752,1597.934644833219,363.3803520428011,127.44510915687044,384.98530312085626,485001.16051590996,90.0,1,0.38468584010184514,0.4,-62473318.65968467,1.5903649769569934,8535.200070984825,Bekliyor,272.52404357109447,3092.1023563023246,35941904279.79042,7598257143.433885,1.5979019947887383,279.92142612525004
